CompId,cid
0,1625
0,23117
0,26890
0,31627
0,30505
0,27837
0,9263
0,33301
1,9002
1,28931
1,24595
1,23756
2,15896
2,30726
2,29376
2,33244
2,33301
3,28500
3,12713
3,16485
3,29972
3,8091
4,21944
4,12458
4,24203
4,840
5,35126
5,10419
5,32980
5,23800
5,1329
5,33312
5,12658
5,12267
5,8230
5,35006
5,16189
6,33607
6,11307
7,12584
7,27611
7,2001
8,13970
8,23180
8,13107
8,24601
8,36
8,22693
8,19260
8,35954
9,8495
9,400
10,34185
10,30118
10,27705
11,3895
11,9263
11,27837
12,1667
12,459
12,1584
12,28102
12,3953
13,8380
13,35926
13,35323
14,22891
14,2268
14,23117
14,30505
14,27837
14,9263
14,21478
14,6812
14,8108
14,2410
14,32293
14,7946
15,35926
16,19880
16,17875
16,8527
16,14619
17,6908
17,8144
17,23998
17,33944
17,3953
17,35926
17,12347
17,7210
17,26890
17,27690
17,459
17,20005
18,12401
18,35755
18,13786
18,3672
18,27690
18,3953
19,1717
19,28661
19,32818
19,24966
19,27092
19,24310
19,2418
19,17143
19,16380
19,5243
19,2783
19,15549
19,16816
19,15435
19,27150
19,22491
20,18029
20,27837
20,8144
20,9186
20,5917
21,30556
21,20639
22,14941
22,8190
22,27837
22,21344
22,23405
23,30255
23,19177
23,23581
24,33893
24,8144
24,5704
24,35926
24,9263
24,17311
25,7674
25,7946
25,1329
25,16189
25,31944
25,7620
25,30212
25,15215
26,24578
27,7077
27,8333
27,26492
28,459
28,27837
29,21339
29,459
30,7830
30,31392
30,2636
30,24761
30,24084
31,23405
31,1097
31,6923
31,12801
31,15044
31,14941
31,30884
32,8347
32,22014
33,23405
33,27017
33,9772
33,1154
34,12875
34,10335
34,6248
34,23943
34,23131
35,28231
35,10807
35,4955
36,7074
36,28484
36,26556
36,15255
36,31652
36,30505
37,2195
37,16650
37,13634
37,26011
37,10472
37,1770
38,29627
38,12326
38,27837
38,30505
38,26890
39,9960
39,12455
40,17998
40,8799
40,12202
40,23382
41,16189
41,31369
41,12089
41,27128
41,34752
41,1251
41,3259
41,2410
42,26666
43,23909
43,1938
44,34215
45,30505
45,28484
45,33502
46,30877
46,19397
46,35491
47,34104
47,23110
47,22
47,14426
47,4362
47,28556
47,29627
47,27716
47,34101
47,23466
48,12846
48,24618
48,16978
48,24612
48,26890
48,35597
48,29601
48,19780
49,19498
49,565
49,34334
49,18097
50,1938
50,30505
50,15342
50,7210
50,8495
51,1329
51,26473
51,27346
52,22014
52,35077
52,6799
52,31690
52,11288
53,3742
53,18460
53,1154
53,1429
54,10817
54,31924
54,34752
54,31369
54,1251
54,5737
54,20113
54,22870
54,31838
54,5917
54,22891
55,28834
56,5857
56,10419
57,32210
58,21207
58,23344
58,7210
59,14941
59,23828
59,12967
59,28968
59,31680
59,9186
60,22
60,5497
60,1273
60,30827
60,33903
60,26469
61,29095
61,22302
61,1458
61,5444
62,30550
62,5646
62,23602
62,7872
62,7601
62,31369
62,28500
62,13786
62,23998
62,27690
62,8144
62,12347
62,459
62,22302
62,10747
62,27837
62,35142
62,30505
62,26890
62,9263
63,3843
63,19008
63,14625
64,459
64,12939
64,34394
65,5654
65,31314
65,7210
66,7636
66,19212
66,22338
66,12400
66,24695
67,6923
67,12662
67,35332
67,6908
67,3953
67,8144
68,5777
68,9263
69,12897
69,33708
69,2410
69,6798
69,31944
69,8783
70,9263
70,30505
71,35926
71,29895
71,30505
71,27837
71,12801
71,14941
71,19620
72,6812
72,35805
72,30877
73,8830
73,19350
74,26601
75,35121
75,2488
75,10864
75,9586
75,26376
76,19008
77,19008
78,27837
78,9263
78,35926
78,29092
78,8144
79,17219
79,29130
79,14561
79,8495
79,30434
79,28968
79,9186
80,24501
80,6386
80,451
80,18286
80,6812
80,30505
80,11149
80,5737
80,1938
80,5658
80,20087
81,1733
81,1983
81,22891
81,21478
81,14941
82,9186
82,12967
82,17640
82,12985
83,33532
83,24828
84,11719
85,9263
85,17311
85,10747
85,6799
86,14564
86,13196
87,9458
87,9819
87,17752
87,2981
87,6525
87,15130
87,18393
87,8263
87,35077
88,4362
88,31369
88,18029
88,8144
88,12347
88,35926
88,459
88,35246
88,26890
88,10935
88,27837
88,1460
89,21381
89,7210
89,23117
90,1251
90,7330
90,33749
90,31369
91,15013
92,27839
92,18639
92,15560
92,19498
92,13786
93,11456
93,17259
93,5324
93,1973
93,24530
94,15890
94,29092
95,1733
95,23117
95,1983
96,12658
96,13717
96,12447
96,4423
96,27699
96,15971
96,7074
97,26890
97,27837
98,11409
98,6994
98,31726
98,22650
98,23405
98,19147
98,27348
99,30434
99,27837
99,8495
99,1667
99,28864
99,4792
99,30877
99,26890
100,7330
100,20113
100,1251
100,1154
101,6990
101,9186
101,17219
101,35582
101,17967
102,27837
102,28057
102,12954
102,24813
103,18421
103,6038
103,31941
104,28560
104,923
104,17967
104,23439
104,18029
104,9263
104,30944
105,35077
105,16189
105,23405
105,17940
105,12150
106,9186
106,12967
106,19008
106,17640
106,12985
106,28479
106,31235
106,12208
106,1432
107,33818
107,6099
107,29147
107,30505
107,30431
108,8702
108,12208
109,30596
110,23998
110,7601
110,23972
110,14153
110,27333
111,1432
111,19460
111,22775
111,9723
111,29978
111,26165
112,28453
112,13933
112,24068
112,4593
112,24503
112,8373
112,30757
112,18891
112,19586
113,10136
113,23180
114,30505
114,27297
114,30025
114,30431
114,10747
114,27690
114,3953
114,27837
115,31837
115,15977
115,27837
115,8144
115,1251
115,21207
115,7330
115,12320
115,35556
115,15309
115,30505
116,27595
116,17546
116,1608
116,29126
116,31452
116,5222
116,15529
116,9927
116,33827
116,13224
116,551
116,25093
116,32487
116,29782
117,8217
117,19388
117,27615
117,35683
117,24742
117,34413
117,23051
117,28458
117,7733
117,35077
117,1251
117,13786
117,16189
117,12658
117,11010
117,7330
117,14612
117,32336
118,3303
118,29608
118,19498
119,31562
119,24452
119,24914
119,7640
119,24994
119,15509
120,18352
120,6392
121,33213
121,27837
122,28762
122,16316
122,1348
122,112
123,4129
123,30903
123,35591
123,34876
123,29110
124,459
124,7601
124,23602
124,3953
125,10561
125,26718
125,2542
125,30339
125,19498
125,18029
125,27690
125,2190
125,8144
125,10419
125,9263
125,27837
125,17546
125,22299
125,19771
125,3593
125,35926
126,31369
126,27017
126,12801
126,7330
126,8144
126,6812
126,10817
126,8569
126,7990
126,28385
126,14941
126,26890
127,32490
127,29889
127,18029
127,26621
127,27699
127,31369
127,1251
127,7330
128,6799
128,7330
128,11284
129,22
129,6665
130,31462
130,24849
130,34473
130,31681
130,6101
130,8577
131,8108
131,7210
131,30877
131,1983
131,1733
131,17265
131,22891
132,31369
132,22014
132,6799
132,1460
132,14076
133,23117
133,26890
133,14941
133,27842
133,14476
134,28968
135,31462
135,16189
135,2410
135,2268
135,7074
135,31369
135,35077
135,7330
135,19181
135,17653
135,11288
136,7074
137,17311
137,34335
137,29282
138,25954
138,3447
138,519
139,29613
139,17265
139,22835
139,9263
140,6277
140,1329
140,28968
140,17219
140,31235
140,5886
140,23988
140,20687
141,12689
141,14941
141,21478
141,23117
141,7210
142,6550
142,31594
142,27123
142,4891
142,13786
142,13232
142,13717
142,28500
142,3758
142,34256
142,33663
143,12766
143,6990
