CompId,供应商,注册资金,成立日期,所属地区,参保人数,企业类型,投资主体,上市与否
93,北京富华鑫标准件有限公司,1000,19,110000,68,2,3,3
94,佛山市顺德乐星金属制品有限公司,300,16,440600,0,2,3,3
95,宁波华乐特汽车装饰布有限公司,1102,18,330200,34,2,2,3
96,江苏天诚车饰科技有限公司,5000,15,321100,5,2,3,3
97,南京长明塑料配件有限公司,500,17,320100,37,2,3,3
98,泰州市宏祥动力机械有限公司,2698,24,321200,380,2,3,3
99,江苏羽佳模塑有限公司,5000,16,320900,194,2,3,3
100,苏州常标金属制品有限公司,125,9,320500,52,2,3,3
101,德福埃斯精密零部件（太仓）有限公司,2205,4,320500,13,2,2,3
102,盐城盖威汽车零部件有限公司,500,17,320900,99,2,3,3
103,南京全茂机械工程有限公司,160,15,320100,20,2,3,3
104,佛山市诺迪精密模具有限公司,550,15,440600,56,2,3,3
105,宁波精乐汽车部件有限公司,150,19,330200,198,2,3,3
106,江苏力星通用钢球股份有限公司,24758,21,320600,606,1,3,1
107,山东优路通汽配有限公司,3000,14,371700,0,2,3,3
108,丰臣（常州）热处理有限公司,4290,8,320400,7,2,2,3
109,广东施奈仕实业有限公司,1000,6,441900,30,2,3,3
110,邢台威德汽车摩托车配件有限公司,648,27,130500,3,2,3,3
111,荆州华力机械有限公司,1500,10,421000,95,2,3,3
112,十堰亚新汽车科技有限公司,1000,8,420300,19,2,3,3
113,深圳市建升科技股份有限公司,9600,15,440300,0,1,3,2
114,广东鼎立汽车空调有限公司,2315,11,441900,29,2,3,3
115,浙江泰康电子有限公司,3195,21,330300,262,2,3,3
116,保定永兴汽车同步器制造有限公司,500,23,130600,62,2,3,3
117,浙江管轮机械有限公司,1200,8,330600,21,2,3,3
118,郑州贯沣电子科技有限公司,1100,11,410100,10,2,3,3
119,鲁银集团禹城粉末冶金制品有限公司,3000,17,371400,77,2,3,3
120,黄骅市华兴五金制品有限公司,100,14,130900,7,2,3,3
121,广东蓝光智能科技有限公司,5000,17,441900,707,2,3,3
122,杭州骉昇科技有限公司,15,4,330100,19,2,3,3
123,天津东明电子工业有限公司,2152,20,120000,84,2,3,3
124,山东丰源轮胎制造股份有限公司,105439,14,370400,1185,1,1,2
125,兴城市粉末冶金有限公司,4400,26,211400,150,2,3,3
126,武汉泛洲机械制造有限公司,18000,27,420100,99,2,3,3
127,瑞安市博纳汽车部件有限公司,10,8,330300,12,2,3,3
128,山东康泰车西斯汽车零部件有限公司,2924,17,370600,30,2,2,3
129,无锡英菲伟迅紧固系统有限公司,500,5,320200,3,2,3,3
130,沧州浩然伟业汽车车身制造股份有限公司,5000,16,130900,20,1,3,2
131,无锡明豪汽车零部件有限公司,1700,10,320200,166,2,3,3
132,长春泰盟机械制造股份有限公司,9166,10,220100,28,1,3,2
133,山东昊安汽车部件制造有限公司,1000,19,371000,0,2,3,3
134,珠海市树研精密塑胶有限公司,6164,27,440400,319,2,2,3
135,浙江宇球科技有限公司,1000,3,330300,43,2,3,3
136,上海勃茸密封科技有限公司,2000,8,310000,2,2,3,3
137,浙江中凌精密铸锻有限公司,500,22,330400,16,2,3,3
138,重庆众青齿轮有限公司,10000,9,500000,201,2,3,3
139,深圳市仓兴达科技有限公司,1200,22,440300,0,2,3,3
140,宁波乔士橡塑有限公司,966,24,330200,110,2,3,3
141,瑞科（中国）精密紧固件制造有限公司,10383,11,440100,0,2,3,3
142,昌邑市友兴铸造有限公司,50,25,370700,0,2,3,3
143,苏州奥比特精密注塑有限公司,2000,16,320500,213,2,3,3
144,昆山鑫达林精密模具有限公司,100,8,320500,23,2,3,3
145,烟台霍富汽车锁有限公司,5880,28,370600,445,2,2,3
146,济南海佑新能源科技有限公司,6000,19,370100,62,2,3,3
147,苏州爱盟机械有限公司,300,9,320500,36,2,3,3
148,上海华鞍汽车配件有限公司,1000,24,310000,165,2,3,3
149,大城县鑫宇密封材料厂,2000,12,131000,0,3,3,3
150,合朝电器（上海）有限公司,3217,14,310000,50,2,2,3
151,上海嘉朗实业有限公司,5000,12,310000,212,2,3,3
152,无锡威孚长安有限责任公司,21000,24,320200,206,2,3,3
153,安徽振宇汽车部件有限公司,8000,5,341700,76,2,2,3
154,昆山铭仁快速成型技术有限公司,500,6,320500,7,2,3,3
155,广元欣源设备制造有限公司,350,16,510800,26,2,3,3
156,天津瀚奇科技发展有限公司,1200,13,120000,36,2,3,3
157,欣阳塑胶工业（天津）有限公司,729,25,120000,0,2,2,3
158,北京新光凯乐汽车冷成型件股份有限公司,10000,18,110000,161,1,2,2
159,欣邦五金制品（昆山）有限公司,1551,21,320500,155,2,2,3
160,河北恒诺粉末冶金有限责任公司,2600,15,131100,133,2,3,3
161,济宁精益轴承有限公司,548,20,370800,265,2,3,3
162,保定金龙汽车同步器齿环有限公司,200,21,130600,2,2,3,3
163,浙江振兴铸造有限公司,2308,20,330500,166,2,3,3
164,淄博久强保温材料有限公司,1000,14,370300,11,2,3,3
165,华域大陆汽车制动系统（重庆）有限公司,20000,7,500000,254,2,2,3
166,青岛海通制动器有限公司,1000,7,370200,197,2,3,3
167,莱州众安汽车零部件有限公司,32300,9,370600,109,2,2,3
168,玉环华港机械有限公司,50,19,331000,10,2,3,3
169,东营雷纳德汽车配件有限公司,100,6,370500,0,2,3,3
170,得莱格精密机械（昆山）有限公司,2000,5,320500,42,2,3,3
171,长春富奥万安制动控制系统有限公司,5000,7,220100,134,2,3,3
172,东莞市创恩电子有限公司,200,11,441900,8,2,3,3
173,威克迈动力系统部件（廊坊）有限公司,4875,10,131000,58,2,3,3
174,杭州方周科技有限公司,4310,5,330100,50,2,3,3
175,东莞市安锐扬电子科技有限公司,600,11,441900,0,2,3,3
176,东莞瑞柯电子科技股份有限公司,5441,18,441900,60,1,3,2
177,浙江宏门电子有限公司,1000,13,330300,10,2,3,3
178,浙江飞鹏车辆配件有限公司,1238,33,330300,60,2,3,3
179,莱州长和粉末冶金有限公司,1020,22,370600,355,2,3,3
180,宁波市北仑科业机械有限公司,780,16,330200,71,2,3,3
181,长兴博海汽车用品有限公司,2000,8,330500,103,2,3,3
182,东莞市凯尚实业有限公司,600,10,441900,6,2,3,3
183,安徽凤凰滤清器股份有限公司,9636,15,340300,616,1,2,2
184,合肥凯利科技投资有限公司,500,14,340100,14,2,3,3
185,浙江非特轴承有限公司,1430,19,330600,83,2,2,3
186,佛山市豹王滤芯制造有限公司,4147,27,440600,303,2,2,3
187,良特电子科技（东莞）有限公司,1288,16,441900,436,2,2,3
188,合肥云鹤安道拓汽车座椅有限公司,5450,15,340100,141,2,3,3
189,浙江包氏铸造有限公司,2680,17,330700,85,2,3,3
190,烟台彩跃轻合金科技有限公司,5725,3,370600,28,2,3,3
191,重庆飞龙科技集团有限公司,3000,25,500000,23,2,3,3
192,深圳市风之源电子有限公司,1319,10,440300,0,2,3,3
193,浙江冯仕特电喷技术有限公司,1100,12,330700,5,2,3,3
194,莱芜市永祥无纺织造有限公司,600,15,370100,21,2,3,3
195,美蓓亚贸易（深圳）有限公司,357,20,440300,0,2,2,3
196,上海西川密封件有限公司,15015,20,310000,545,2,2,3
197,衡阳国龙汽车零部件有限公司,550,16,430400,36,2,3,3
198,广州精博汽车部件有限公司,1000,17,440100,63,2,3,3
199,杭州裕万汽车零部件有限公司,14199,12,330100,47,2,2,3
200,沈阳远程摩擦密封材料有限公司,8000,15,210100,51,2,3,3
201,江苏精研科技股份有限公司,18610,18,320400,2911,1,3,1
202,东莞伟嘉塑胶电子制品有限公司,6072,20,441900,1281,2,2,3
203,重庆凯恩斯橡塑有限公司,400,6,500000,43,2,2,3
204,苏州华纳精密模具有限公司,1000,14,320500,81,2,3,3
205,上海盈田汽车零部件有限公司,150,15,310000,0,2,2,3
206,海德声科贸易（上海）有限公司,500,5,310000,23,2,2,3
207,英格尔检测技术服务（上海）有限公司,5900,13,310000,572,2,3,3
208,上海三国精密机械有限公司,12805,28,310000,307,2,2,3
209,阜新德尔汽车部件股份有限公司,13491,18,210900,1419,1,2,1
210,宁波市北仑燎原模铸有限公司,1108,23,330200,154,2,3,3
211,北京安通林汽车饰件有限公司,1500,8,110000,125,2,2,3
212,天津市神州汽车零部件有限公司,500,18,120000,6,2,3,3
213,天津信多金属表面处理有限公司,500,29,120000,16,2,2,3
214,宁波豪润汽车零部件有限公司,10000,11,330200,526,2,3,3
215,宁波捷豹集团有限公司,5000,26,330200,25,1,3,2
216,富奥汽车零部件股份有限公司泵业分公司,500,23,220400,785,1,1,2
217,德州萨美特电源有限公司,162,13,371400,33,2,3,3
218,浙江立群汽车配件制造有限公司,1200,21,330200,80,2,3,3
219,江苏新华明机械制造实业有限公司,1200,18,320500,59,2,3,3
220,甘肃沪光新能源科技有限公司,1000,4,620800,0,2,3,3
221,重庆光昊机械有限公司,880,16,500000,364,2,3,3
222,浙江中泰熔断器股份有限公司,5180,6,330300,2,1,3,2
223,邵阳市湘宝汽车配件有限公司,2280,19,430500,75,2,3,3
224,上海耀杉电子科技有限公司,1000,5,310000,41,2,3,3
225,山西汉通鑫宇科技股份有限公司,2930,9,140500,349,1,3,2
226,上海三盾汽车饰件有限公司,2000,27,310000,27,2,3,3
227,东莞市杰拓皮革有限公司,100,11,441900,4,2,3,3
228,天津大东社汽车零部件表面处理有限公司,420,7,120000,20,2,2,3
229,瑞安市润正汽车部件有限公司,50,14,330300,8,2,3,3
230,湖南江滨富华机油泵有限责任公司,1200,16,430300,77,2,2,3
231,合肥凯创汽车零部件有限公司,388,17,340100,95,2,3,3
232,武汉诗兰姆汽车零部件有限公司,300,12,420100,78,2,2,3
233,江苏嘉杨机电配件有限公司,500,15,320400,29,2,3,3
234,无锡恒和环保科技有限公司,5000,7,320200,198,2,3,3
235,杭州广安汽车电器有限公司,2350,28,330100,295,2,3,3
236,宁波海山克尔铃密封件有限公司,151,22,330200,100,2,3,3
237,西迪斯（中山）科技有限公司,3575,15,442000,341,2,2,3
238,广东普盛新能源科技有限公司,1500,5,440500,23,2,3,3
239,常州市铁英金属制品有限公司,1000,27,320400,9,2,3,3
240,湖北丰田合成正奥橡塑密封科技有限公司,4600,27,420300,266,2,2,3
241,慈溪市快乐汽车零部件有限公司,200,18,330200,23,2,3,3
